date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:04	86926/86926	---MCZ	200	added ('OK')	application/x-javascript	etag:%220-1538e-60b051e2%22	https://www.lgessbattery.com/ess/resource/common/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/common/js/jquery-3.3.1.min.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:04	253385/253385	---MCZ	200	added ('OK')	application/x-javascript	etag:%220-3ddc9-60b051e2%22	https://www.lgessbattery.com/ess/resource/common/js/jquery-ui.min.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/common/js/jquery-ui.min.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:04	9768/9768	---MCZ	200	added ('OK')	application/x-javascript	etag:%220-2628-60b050dc%22	https://www.lgessbattery.com/common/js/jquery-ajax-options.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/common/js/jquery-ajax-options.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:05	42216/42216	---MCZ	200	added ('OK')	application/x-javascript	etag:%220-a4e8-60b050dc%22	https://www.lgessbattery.com/common/js/jquery.form.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/common/js/jquery.form.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:05	4366/4366	---M-Z	200	added ('OK')	application/x-javascript	etag:%220-110e-60b050dc%22	https://www.lgessbattery.com/common/js/common-user.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/common/js/common-user.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:05	51428/51428	---MCZ	200	added ('OK')	application/x-javascript	etag:%220-c8e4-616f0c72%22	https://www.lgessbattery.com/common/js/common-util.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/common/js/common-util.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:05	3140/3140	---M-Z	200	added ('OK')	application/x-javascript	etag:%220-c44-60e0cd17%22	https://www.lgessbattery.com/common/js/jquery.cookie.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/common/js/jquery.cookie.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:05	22951/22951	---MCZ	200	added ('OK')	application/x-javascript	etag:%220-59a7-60b4897e%22	https://www.lgessbattery.com/common/js/jquery-submit.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/common/js/jquery-submit.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:06	127934/127934	---MCZ	200	added ('OK')	application/x-javascript	etag:%220-1f3be-60d572d9%22	https://www.lgessbattery.com/ess/resource/common/js/swiper.min.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/common/js/swiper.min.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:06	45479/45479	---MCZ	200	added ('OK')	application/x-javascript	etag:%220-b1a7-60b051e2%22	https://www.lgessbattery.com/ess/resource/common/js/jquery.mCustomScrollbar.concat.min.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/common/js/jquery.mCustomScrollbar.concat.min.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:06	79272/79272	---MCZ	200	added ('OK')	application/javascript	etag:W/%22135a8-61d9ab58308f2%22	https://cdn-eas.readspeaker.com/script/14195/webReader/webReader.js?pids=wr	C:/My%20Web%20Sites/123/cdn-eas.readspeaker.com/script/14195/webReader/webReader7a81.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:07	229083/229083	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2025%20Jul%202024%2005:28:07%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/123/connect.facebook.net/en_US/fbevents.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2025%20Jul%202024%2005:28:07%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/123/www.googletagmanager.com/gtm.155445.delayed	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:07	3374/3374	---M--	200	added ('OK')	image/png	etag:%220-d2e-61d79c9d%22	https://www.lgessbattery.com/ess/resource/common/images/AU.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/common/images/AU.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:09	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Thu,%2025%20Jul%202024%2005:28:08%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/123/translate.google.com/translate_a/element.17a0d8.delayed	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:09	94118/94118	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jul%202024%2005:28:09%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/123/translate.google.com/translate_a/elementa0d8.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:09	11825/11825	---M--	200	added ('OK')	image/png	etag:%220-2e31-65cac132%22	https://www.lgessbattery.com/ess/resource/assets/images/image%205.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/image%205.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:10	84650/84650	---M--	200	added ('OK')	image/png	etag:%220-14aaa-65cc5124%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_05.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_05.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:10	41941/41941	---M--	200	added ('OK')	image/png	etag:%220-a3d5-65cc51a6%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_05_m.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_05_m.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:10	99552/99552	---M--	200	added ('OK')	image/png	etag:%220-184e0-65cc5134%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_06.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_06.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:10	67234/67234	---M--	200	added ('OK')	image/png	etag:%220-106a2-65cc51b2%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_06_m.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_06_m.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:10	36742/36742	---M--	200	added ('OK')	image/png	etag:%220-8f86-65cc5154%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_01.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_01.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:11	26017/26017	---M--	200	added ('OK')	image/png	etag:%220-65a1-65cc515e%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_01_m.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_01_m.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:11	159383/159383	---M--	200	added ('OK')	image/png	etag:%220-26e97-65cc516c%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_02.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_02.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:11	85580/85580	---M--	200	added ('OK')	image/png	etag:%220-14e4c-65cc5178%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_02_m.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_02_m.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:11	158721/158721	---M--	200	added ('OK')	image/png	etag:%220-26c01-65cc50f0%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_03.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_03.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:11	54173/54173	---M--	200	added ('OK')	image/png	etag:%220-d39d-65cc5186%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_03_m.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_03_m.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:12	124287/124287	---M--	200	added ('OK')	image/png	etag:%220-1e57f-65cc5108%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_04.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_04.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:12	61489/61489	---M--	200	added ('OK')	image/png	etag:%220-f031-65cc5192%22	https://www.lgessbattery.com/ess/resource/assets/images/info_bg_04_m.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/info_bg_04_m.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:12	12320/12320	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22a7eb6794e868fe870db350518165c868%22	https://js.adsrvr.org/up_loader.1.1.0.js	C:/My%20Web%20Sites/123/js.adsrvr.org/up_loader.1.1.0.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:13	1511/1511	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2024%20Jul%202024%2005:21:40%20GMT	https://snap.licdn.com/li.lms-analytics/insight.min.js	C:/My%20Web%20Sites/123/snap.licdn.com/li.lms-analytics/insight.min.js	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:13	148/148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:13%20GMT	https://www.lgessbattery.com/ess/resource/common/css/mCSB_buttons.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/common/css/mCSB_buttons.png	(from https://www.lgessbattery.com/ess/resource/common/css/jquery.mCustomScrollbar.min.css)
14:28:13	148/148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:13%20GMT	https://www.lgessbattery.com/ess/resource/assets/images/loading.gif	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/images/loading.29.delayed	(from https://www.lgessbattery.com/ess/resource/assets/css/common.css)
14:28:14	1344/1344	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:14%20GMT	https://www.lgessbattery.com/ess/resource/assets/css/<path-to-image	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/css/_path-to-image.2a.delayed	(from https://www.lgessbattery.com/ess/resource/assets/css/recall.css)
14:28:14	1344/1344	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:14%20GMT	https://www.lgessbattery.com/m/au/recall/Version/	C:/My%20Web%20Sites/123/www.lgessbattery.com/m/au/recall/Version/index.html	(from https://www.lgessbattery.com/ess/resource/common/js/swiper.min.js)
14:28:14	148/148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:14%20GMT	https://www.lgessbattery.com/m/au/recall/cdnjs.cloudflare.com/ajax/libs/jquery-mousewheel/3.1.13/jquery.mousewheel.min.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/m/au/recall/cdnjs.cloudflare.com/ajax/libs/jquery-mousewheel/3.1.13/jquery.mousewheel.min.2b.delayed	(from https://www.lgessbattery.com/ess/resource/common/js/jquery.mCustomScrollbar.concat.min.js)
14:28:14	1344/1344	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:14%20GMT	https://www.lgessbattery.com/m/au/recall/version/	C:/My%20Web%20Sites/123/www.lgessbattery.com/m/au/recall/version/index-2.html	(from https://www.lgessbattery.com/ess/resource/common/js/swiper.min.js)
14:28:15	1344/1344	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:14%20GMT	https://www.lgessbattery.com/m/au/recall/a	C:/My%20Web%20Sites/123/www.lgessbattery.com/m/au/recall/a	(from https://connect.facebook.net/en_US/fbevents.js)
14:28:15	1344/1344	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:15%20GMT	https://www.lgessbattery.com/m/au/recall/POST	C:/My%20Web%20Sites/123/www.lgessbattery.com/m/au/recall/POST	(from https://connect.facebook.net/en_US/fbevents.js)
14:28:15	1344/1344	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:15%20GMT	https://www.lgessbattery.com/m/au/recall/b.resolvedLink	C:/My%20Web%20Sites/123/www.lgessbattery.com/m/au/recall/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
14:28:15	148/148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:15%20GMT	https://www.lgessbattery.com/signals/iwl.js	C:/My%20Web%20Sites/123/www.lgessbattery.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
14:28:16	1344/1344	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:15%20GMT	https://www.lgessbattery.com/m/au/recall/schema.org/	C:/My%20Web%20Sites/123/www.lgessbattery.com/m/au/recall/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:28:16	1344/1344	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:16%20GMT	https://www.lgessbattery.com/m/au/recall/t.src	C:/My%20Web%20Sites/123/www.lgessbattery.com/m/au/recall/t.src	(from https://js.adsrvr.org/up_loader.1.1.0.js)
14:28:16	24594/24594	---MC-	200	added ('OK')	text/javascript	etag:%22de7d05e12b7d11fa22ad4b16481f1925%22	https://cdn.prod.uidapi.com/uid2-sdk-3.2.0.js	C:/My%20Web%20Sites/123/cdn.prod.uidapi.com/uid2-sdk-3.2.0.js	(from https://js.adsrvr.org/up_loader.1.1.0.js)
14:28:16	1344/1344	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:16%20GMT	https://www.lgessbattery.com/m/au/recall/e.origin	C:/My%20Web%20Sites/123/www.lgessbattery.com/m/au/recall/e.origin	(from https://js.adsrvr.org/up_loader.1.1.0.js)
